Date,Course,RaceNumber
08/02/2014,ST,2
08/02/2014,ST,3
08/02/2014,ST,4
08/02/2014,ST,5
08/02/2014,ST,6
08/02/2014,ST,7
08/02/2014,ST,8
08/02/2014,ST,9
08/02/2014,ST,10
12/02/2014,HV,1
12/02/2014,HV,2
12/02/2014,HV,3
12/02/2014,HV,4
12/02/2014,HV,5
12/02/2014,HV,6
12/02/2014,HV,7
12/02/2014,HV,8
16/02/2014,ST,1
16/02/2014,ST,2
16/02/2014,ST,3
16/02/2014,ST,4
16/02/2014,ST,5
16/02/2014,ST,6
16/02/2014,ST,7
16/02/2014,ST,8
16/02/2014,ST,9
16/02/2014,ST,10
19/02/2014,HV,1
19/02/2014,HV,2
19/02/2014,HV,3
19/02/2014,HV,4
19/02/2014,HV,5
19/02/2014,HV,6
19/02/2014,HV,7
19/02/2014,HV,8
23/02/2014,ST,1
23/02/2014,ST,2
23/02/2014,ST,3
23/02/2014,ST,4
23/02/2014,ST,5
23/02/2014,ST,6
23/02/2014,ST,7
23/02/2014,ST,8
23/02/2014,ST,9
23/02/2014,ST,10
26/02/2014,HV,1
26/02/2014,HV,2
26/02/2014,HV,3
26/02/2014,HV,4
26/02/2014,HV,5
26/02/2014,HV,6
26/02/2014,HV,7
26/02/2014,HV,8
01/03/2014,ST,1
01/03/2014,ST,2
01/03/2014,ST,3
01/03/2014,ST,4
01/03/2014,ST,5
01/03/2014,ST,6
01/03/2014,ST,7
01/03/2014,ST,8
01/03/2014,ST,9
01/03/2014,ST,10
05/03/2014,HV,1
05/03/2014,HV,2
05/03/2014,HV,3
05/03/2014,HV,4
05/03/2014,HV,5
05/03/2014,HV,6
05/03/2014,HV,7
05/03/2014,HV,8
05/03/2014,HV,9
09/03/2014,ST,1
09/03/2014,ST,2
09/03/2014,ST,3
09/03/2014,ST,4
09/03/2014,ST,5
09/03/2014,ST,6
09/03/2014,ST,7
09/03/2014,ST,8
09/03/2014,ST,9
09/03/2014,ST,10
12/03/2014,HV,1
12/03/2014,HV,2
12/03/2014,HV,3
12/03/2014,HV,4
12/03/2014,HV,5
12/03/2014,HV,6
12/03/2014,HV,7
12/03/2014,HV,8
16/03/2014,ST,1
16/03/2014,ST,2
16/03/2014,ST,3
16/03/2014,ST,4
16/03/2014,ST,5
16/03/2014,ST,6
16/03/2014,ST,7
16/03/2014,ST,8
16/03/2014,ST,9
16/03/2014,ST,10
19/03/2014,HV,1
19/03/2014,HV,2
19/03/2014,HV,3
19/03/2014,HV,4
19/03/2014,HV,5
19/03/2014,HV,6
19/03/2014,HV,7
19/03/2014,HV,8
23/03/2014,ST,1
23/03/2014,ST,2
