Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
10,3,SMILING CITY  (D113),B Shinn,SR/TT,"Away well, raced 2 wide in midfield, commenced move 450M, showed some response early in straight, peaked on run 150M, weakened gradually thereafter.",2022-01-05,1
11,9,ASIAN ONE  (E400),L Ferraris,B1/TT1,"Moderately away, sent forward to take the lead, travelled well in the middle stages, peaked and headed 300M, weakened final furlong.",2022-01-05,1
12,7,YEE CHEONG WARRIOR  (E025),M F Poon,H-/XB/B1,"Bumped start and unbalanced, raced behind midfield on the outside, very wide into straight, peaked early in straight, weakened thereafter.",2022-01-05,1
1,2,REWARDING TOGETHER  (D334),M Chadwick,B/TT,"Settled in front, 2 wide, closed off strongly 300M to score.",2022-01-05,2
2,6,CHARMING STEED  (E494),B Shinn,TT,"Pushed to obtain box seat, lack room 300M, just held ground when clear.",2022-01-05,2
3,5,SIGHT HERO  (D487),K Teetan,B,"Behind midfield, 2-3 wide, raced keenly, made steady ground 300M.",2022-01-05,2
4,4,REGENCY STAR  (E399),A Badel,--,"Hard ridden to take rail and lead, out of fuel 200M.",2022-01-05,2
5,8,MEGA BONUS  (E184),C Y Ho,XB,"Was crowded for room on jumping, eased back, trapped 3-4 wide, progressed steadily 250M.",2022-01-05,2
6,11,MAN UP  (E391),H Bentley,CP1/TT,"Eased back, took rail, blocked most straight, made good ground when clear.",2022-01-05,2
7,7,QUORUM  (G005),R Maia,B1/TT1,"Pushed to hold the rail in midfield, made ground 250M.",2022-01-05,2
8,3,HARRIER JET  (T372),V Borges,B,"At rear, 2-4 wide, progressed steadily 200M.",2022-01-05,2
9,1,BABY  (C271),A Hamelin,B2,"Hard ridden early, trapped 3 wide in midfield, emptied 250M",2022-01-05,2
10,10,JUBILATION  (G029),H T Mo,V,"Hard ridden early but not muster, never improved.",2022-01-05,2
11,9,EUROMISSILE  (E277),M L Yeung,CP-/XB/B1/H1,"At back, 2 wide, no progress.",2022-01-05,2
12,12,KABI SMART  (E022),C Wong,H-/TT,"Pushed forward, sat 2 wide, weakened 300M.",2022-01-05,2
1,2,TORONADO PHANTOM  (E300),J Moreira,TT,"At rear, 3 wide but with cover, swung widest on Straightening, closed off well to score by a neck.",2022-01-05,3
2,12,SHADOW RUNNER  (D463),M L Yeung,TT,"Settled in behind the leader, along the rail, continued on to take 2nd.",2022-01-05,3
3,1,MY ECSTATIC  (E004),M Chadwick,TT,"Raced in midfield, 2 wide, made some ground and ran on reasonably for 3rd.",2022-01-05,3
4,3,XPONENTIAL  (D049),C L Chau,B/TT,"Raced next to the leader, 2 wide, kept on going but headed in the last 25M.",2022-01-05,3
5,6,BINGO BINGO  (E451),V Borges,B/TT,"Raced in midfield, 2 wide, continued on to the line and finished off only fairly.",2022-01-05,3
6,5,HERCULES  (C476),K Teetan,B/XB/TT,"At rear, along the rail, saved ground and closed off well to the line.",2022-01-05,3
7,9,WHISKEY NEAT  (D150),B Shinn,TT,"Raced prominently, 2 wide, weakened after passing 50M.",2022-01-05,3
8,10,HAPPY GATHERING  (E029),A Badel,B,"At rear, 2 wide, pretty one paced in the Straight.",2022-01-05,3
9,4,HAPPY TANGO  (D075),A Hamelin,B,"Sent forward, along the rail, weakened after passing 150M.",2022-01-05,3
10,7,CALL ME LU  (E404),R Maia,XB/TT,"Raced in behind midfield, along the rail, nothing in the Straight.",2022-01-05,3
11,8,MASTER AQUA  (E417),K C Leung,CP-/B1,"Raced in midfield, wide no cover, lost ground in the Straight. (Lame right front)",2022-01-05,3
1,6,ZEBROWSKI  (E382),J Moreira,TT,"Held up in midfield, pushed along 500M out, quickened past leader nearing 150M, continued on well to the finish.",2022-01-05,4
2,8,SUNNY STAR  (D273),A Badel,--,"Given a waiting ride, settled last about 9Ls off the pace middle stages, urged along 550M, closed off well to go 2nd near 50M, comfortably held by winner late.",2022-01-05,4
3,5,SAVVY NINE  (D056),M L Yeung,B/XB,"Tracked leaders in 3rd, opened up a gap to rest of the field middle stages, moved up well to take lead 250M, couldn't hold off winner 150M, faded late but held on for 3rd.",2022-01-05,4
4,3,FAST MOST FURIOUS  (A165),M Chadwick,--,"Settled in 4th, some 4Ls behind leader middle stages, kept on moderately turning home and lacked the necessary response, held ground final 200M. (LF injury reported.)",2022-01-05,4
