Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
8,6,SUPER FLUKE  (T382),H Bowman,B-/V1/TT,"Held up 2-wide behind midfield, 6Ls to make up 400M, chased steadily without threatening.",2016-12-07,8
9,1,TEN FLAMES  (S447),P Smullen,V,"Dropped back from wide barrier, in last 10Ls off runaway leader, worked home mildly over final 300M, never got involved.",2016-12-07,8
10,12,ROYAL PARTNER  (N394),F Geroux,TT,"Sat behind midfield 6-7Ls behind runaway leader, ran on under pressure passing 300M but couldn't accelerate enough, no clear run final 100M.",2016-12-07,8
11,11,JE PENSE  (V354),K C Leung,B1/TT1,"Caught wide no cover from draw 11, couldn't keep up 550M, soon detached from the field.",2016-12-07,8
1,12,SUPREME PROFIT  (P230),S De Sousa,B/TT,"Jumped well but restrained, dropping to rear in one-off position. Not asked for an effort until niggled at passing 500m, taken to centre track 180m and powered home to win on the line.",2016-12-07,9
2,8,STAR MAJESTIC  (S093),N Callan,B,"Jumped with field, allowed to stride forward, taking first turn 3-wide. Settled one-off 3L from leader back stretch. Put under pressure 450m, speared forward under whip to look winner 100m but run down on line.",2016-12-07,9
3,10,PACKING DRAGON  (T230),M Barzalona,B,Pressed forward 3-wide to race outside leader first turn. Steadied 1200m but unable get cover and surged forward to lead 480m. Kicked 3L clear 300m but faltered final stages and run down.,2016-12-07,9
4,7,DYNAMISM  (T188),K Teetan,H/SR,"Broke fairly, ridden along to 1600m before restrained and taken in, settling one-off behind midfield. Made forward move passing 450m, taken to centre track and finished strongly under hard riding to just miss.",2016-12-07,9
5,11,MCQUEEN  (V013),S Clipperton,XB,"Began awkwardly, taken to rail but outpaced, dropping to rear. Not asked to move until 400m when shaken up, swung wide into straight, run into traffic jam, shifted out 150m to improve, finished strongly.",2016-12-07,9
6,3,SERGEANT TITANIUM  (S332),O Doleuze,--,"Tightened shortly after start, settling midfield in one-off position. Niggled at passing 500m, swung wide into straight finished off strongly under vigorous riding.",2016-12-07,9
7,2,WINNIE'S HONEY  (V132),J Moreira,H,"Began OK, taken to rail and settled, dropping to behind midfield. Switched off along back stretch, left fence 450m to make run, ran on steadily in straight. Lame right front leg.",2016-12-07,9
8,5,DIVINE BOY  (T163),T H So,--,"Steadied on jumping and shifted across behind runners, settling last in a well strung-out field. Hard ridden from 400m, taken on centre field on straightening, ran on steadily.",2016-12-07,9
9,6,TOP ACT  (P435),G Lerena,B-/H/TT,"Hard ridden from inside draw to get forward position 2-back from leader but left 7L behind when pace hotted up back stretch. Took closer order turn, got inside run in straight and finished off fairly.",2016-12-07,9
10,1,BASIC TRILOGY  (V133),H Bowman,B,"Surged forward from inside draw to settle one-back, one-off at first turn but shuffled 5L back 1000m when rivals moved forward. Closed in steadily around turn, swung wide, kept on fairly till flattened 100m.",2016-12-07,9
