Letter,HorseName,Rating,URL
C,CASA ROCHESTER,63,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J494
C,CHARITY TOGETHER,63,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K254
C,COLOURFUL KNIGHT,63,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K366
C,CHARMING BABE,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J513
C,CHEVAL VICTORIOUS,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J458
C,CHAIN OF GOLD,61,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J138
C,CALIFORNIA DEEPLY,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G451
C,CHARMING STEED,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E494
C,CITY THUNDER,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J173
C,COURIER ALADDIN,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J387
C,CHAMPION INSTINCT,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_H012
C,CALL ME GORGEOUS,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K091
C,CAN'T GO WONG,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H087
C,COMET SPLENDIDO,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G071
C,CONSPIRATOR,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K090
C,CALL TO COMMAND,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J243
C,CHEVAL VALIANT,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E336
C,CIRCUIT DUFFY,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J501
C,CANDLELIGHT DINNER,55,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J468
C,CALIFORNIA SUN,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J129
C,CALL ME SUCCESS,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K462
C,CHINA WIN,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K395
C,CIRCUIT BUBU,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K463
C,CIRCUIT CENTURY,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K308
C,CIRCUIT CHAMPION,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J428
C,CIRRUS SPEED,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K279
