Date,Course,RaceNumber,ComputedStartTime,Start_time,Race_datetime,temperature,humidity,rainfall
2010-03-31,HV,3,20:25:00,20:25:00,2010-03-31 20:25:00,24.0,,
2010-03-31,HV,4,21:00:00,21:00:00,2010-03-31 21:00:00,24.0,,
2010-03-31,HV,5,21:35:00,21:35:00,2010-03-31 21:35:00,24.0,,
2010-03-31,HV,6,22:10:00,22:10:00,2010-03-31 22:10:00,24.0,,
2010-03-31,HV,7,22:45:00,22:45:00,2010-03-31 22:45:00,24.0,,
2010-03-31,HV,8,23:20:00,23:20:00,2010-03-31 23:20:00,24.0,,
2010-04-04,ST,1,13:00:00,13:00:00,2010-04-04 13:00:00,24.0,,0.0
2010-04-04,ST,2,13:35:00,13:35:00,2010-04-04 13:35:00,24.0,,0.0
2010-04-04,ST,3,14:10:00,14:10:00,2010-04-04 14:10:00,24.0,,0.0
2010-04-04,ST,4,14:45:00,14:45:00,2010-04-04 14:45:00,24.0,,0.0
2010-04-04,ST,5,15:20:00,15:20:00,2010-04-04 15:20:00,24.0,,0.0
2010-04-04,ST,6,15:55:00,15:55:00,2010-04-04 15:55:00,24.0,,0.0
2010-04-04,ST,7,16:30:00,16:30:00,2010-04-04 16:30:00,24.0,,0.0
2010-04-04,ST,8,17:05:00,17:05:00,2010-04-04 17:05:00,24.0,,0.0
2010-04-04,ST,9,17:40:00,17:40:00,2010-04-04 17:40:00,24.0,,0.0
2010-04-04,ST,10,18:15:00,18:15:00,2010-04-04 18:15:00,24.0,,0.0
2010-04-07,HV,1,19:15:00,19:15:00,2010-04-07 19:15:00,24.0,,
2010-04-07,HV,2,19:50:00,19:50:00,2010-04-07 19:50:00,24.0,,
2010-04-07,HV,3,20:25:00,20:25:00,2010-04-07 20:25:00,24.0,,
2010-04-07,HV,4,21:00:00,21:00:00,2010-04-07 21:00:00,24.0,,
2010-04-07,HV,5,21:35:00,21:35:00,2010-04-07 21:35:00,24.0,,
2010-04-07,HV,6,22:10:00,22:10:00,2010-04-07 22:10:00,24.0,,
2010-04-07,HV,7,22:45:00,22:45:00,2010-04-07 22:45:00,24.0,,
2010-04-07,HV,8,23:20:00,23:20:00,2010-04-07 23:20:00,24.0,,
2010-04-10,ST,1,13:00:00,13:00:00,2010-04-10 13:00:00,24.0,,0.0
2010-04-10,ST,2,13:35:00,13:35:00,2010-04-10 13:35:00,24.0,,0.0
2010-04-10,ST,3,14:10:00,14:10:00,2010-04-10 14:10:00,24.0,,0.0
2010-04-10,ST,4,14:45:00,14:45:00,2010-04-10 14:45:00,24.0,,0.0
2010-04-10,ST,5,15:20:00,15:20:00,2010-04-10 15:20:00,24.0,,0.0
2010-04-10,ST,6,15:55:00,15:55:00,2010-04-10 15:55:00,24.0,,0.0
2010-04-10,ST,7,16:30:00,16:30:00,2010-04-10 16:30:00,24.0,,0.0
2010-04-10,ST,8,17:05:00,17:05:00,2010-04-10 17:05:00,24.0,,0.0
