Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
9,10.0,AMBITIOUS HEART (V303),C L Chau,T P Yung,120.0,1182,7,5-1/2,7 7 9,1:10.89,31,2022/09/28,HV,5,Class 4,1200M,60-40,GOOD,"TURF - ""C"" Course",24.30,47.49,1:10.02,,,,24.30,23.19,22.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,COMMON ROOM (E453),A Badel,C S Shum,116.0,1016,9,5-3/4,10 11 10,1:10.92,43,2022/09/28,HV,5,Class 4,1200M,60-40,GOOD,"TURF - ""C"" Course",24.30,47.49,1:10.02,,,,24.30,23.19,22.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6.0,SIX BEST FRIENDS (G205),H W Lai,K L Man,128.0,1138,4,6-1/2,5 5 11,1:11.05,26,2022/09/28,HV,5,Class 4,1200M,60-40,GOOD,"TURF - ""C"" Course",24.30,47.49,1:10.02,,,,24.30,23.19,22.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.0,DRAGON KINGDOM (E211),K C Leung,Y S Tsui,126.0,1130,3,7-1/2,2 3 12,1:11.20,12,2022/09/28,HV,5,Class 4,1200M,60-40,GOOD,"TURF - ""C"" Course",24.30,47.49,1:10.02,,,,24.30,23.19,22.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,KOKUSHI MUSOU (G006),K H Chan,C Fownes,130.0,---,---,---,---,---,---,2022/09/28,HV,5,Class 4,1200M,60-40,GOOD,"TURF - ""C"" Course",24.30,47.49,1:10.02,,,,24.30,23.19,22.53,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,YO BEAUTY (E275),A Badel,A S Cruz,122.0,1196,1,-,1 1 1,1:09.51,2.6,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,EXCELLENT PEERS (G033),M Chadwick,F C Lor,122.0,1143,8,1/2,9 9 2,1:09.60,11.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9.0,TRADER (E287),L Ferraris,P C Ng,119.0,1178,4,3/4,2 2 3,1:09.66,8.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,NICCONI COUNTY (G208),K H Chan,C Fownes,130.0,1101,3,1-1/2,5 5 4,1:09.73,5.4,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,NAMJONG SINGS (C480),H Bentley,C S Shum,130.0,1235,2,1-3/4,3 3 5,1:09.81,13.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,HIGH RISE SOLDIER (C511),C Y Ho,K W Lui,119.0,1066,6,2,6 6 6,1:09.82,15.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.0,SUPER WINNER (C341),Z Purton,C H Yip,121.0,1184,5,2-3/4,4 4 7,1:09.95,5.3,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.0,EQUILIBRIUM TURBO (E195),L Hewitson,R Gibson,120.0,1091,7,4-1/4,8 8 8,1:10.20,17.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,ELON (E272),L Currie,J Size,132.0,1083,10,6,7 7 9,1:10.47,30.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,MODEST GENTLEMAN (G352),M F Poon,L Ho,116.0,1022,9,6-1/4,10 10 10,1:10.52,51.0,2022/09/28,HV,6,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",24.05,46.88,1:09.51,,,,24.05,22.83,22.63,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0,WINNING ICEY (G246),L Ferraris,C Fownes,118.0,1175,3,-,3 2 1,1:09.37,3.4,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.0,STORMTROUPER (E100),R Maia,C H Yip,120.0,1082,2,1-3/4,4 5 2,1:09.63,11.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,IGNITING (D481),M F Poon,K W Lui,129.0,1270,6,2,7 6 3,1:09.70,7.7,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.0,FLAMING PASSION (E084),M Chadwick,F C Lor,119.0,1133,1,2-3/4,2 3 4,1:09.82,8.8,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,ENCHANTING IBIS (G219),H Bentley,A T Millard,117.0,1158,9,3,9 7 5,1:09.86,10.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,OUR LUCKY GLORY (G292),L Hewitson,D J Whyte,125.0,1067,8,3-1/4,8 8 6,1:09.89,14.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,RED DESERT (C287),A Badel,J Size,131.0,1045,10,3-3/4,10 10 7,1:09.96,43.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,BEAUTY GLORY (E459),Z Purton,A S Cruz,135.0,1165,7,3-3/4,5 4 8,1:09.97,3.4,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.0,SUPER EAGLE (G408),L Currie,D A Hayes,120.0,1065,4,6-3/4,6 9 9,1:10.47,23.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5.0,WINE AND WINE (E101),C Wong,T P Yung,117.0,1158,5,8,1 1 10,1:10.65,16.0,2022/09/28,HV,7,Class 3,1200M,80-60,GOOD,"TURF - ""C"" Course",23.59,46.47,1:09.37,,,,23.59,22.88,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.0,NEARLY FINE (E430),C Y Ho,C Fownes,122.0,1107,8,-,10 10 9 7 1,1:48.52,5.8,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7.0,COMET SPLENDIDO (G071),H Bentley,C S Shum,121.0,1176,4,2,4 3 3 3 2,1:48.84,2.2,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,ABOVE (B345),R Maia,A T Millard,129.0,1035,5,4,9 8 8 9 3,1:49.17,35.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.0,PERFECT MARYKNOLL (E319),C Wong,T P Yung,110.0,1172,10,6,1 1 1 1 4,1:49.47,38.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,NATURAL STORM (C461),M F Poon,P F Yiu,113.0,1121,1,6,11 11 11 11 5,1:49.49,14.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,ROMANTIC COMBO (D271),C L Chau,C S Shum,127.0,1145,11,7,2 2 2 2 6,1:49.65,21.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.0,ROBOT WARRIOR (C532),H N Wong,P F Yiu,114.0,1116,3,7-3/4,8 9 10 10 7,1:49.77,37.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4.0,S J TOURBILLON (G138),L Hewitson,D J Whyte,126.0,1124,2,7-3/4,7 6 6 5 8,1:49.77,9.5,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8.0,BLASTOISE (C450),L Ferraris,A T Millard,120.0,1075,9,8-3/4,3 5 5 4 9,1:49.93,12.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,SUPERBELLA (D128),Z Purton,F C Lor,135.0,1128,6,9-1/2,6 7 7 8 10,1:50.06,11.0,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.0,SUPER OASIS (D085),M Chadwick,A S Cruz,125.0,1157,7,15,5 4 4 6 11,1:50.93,8.2,2022/09/28,HV,8,Class 3,1800M,85-60,GOOD,"TURF - ""C"" Course",13.59,35.90,1:00.20,1:24.72,1:48.52,,13.59,22.31,24.30,24.52,23.80,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,OWNERS' STAR (B427),V Borges,W Y So,130.0,1131,3,-,6 5 5 6 1,1:47.61,14.0,2022/10/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""C+3"" Course",13.84,36.00,1:00.06,1:23.56,1:47.61,,13.84,22.16,24.06,23.50,24.05,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,THIS IS CHARISMA (D102),Z Purton,D J Hall,126.0,1110,5,N,4 4 4 3 2,1:47.67,3.1,2022/10/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""C+3"" Course",13.84,36.00,1:00.06,1:23.56,1:47.61,,13.84,22.16,24.06,23.50,24.05,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9.0,SUPERB DADDY (D235),C L Chau,Y S Tsui,124.0,1092,1,1/2,8 8 8 7 3,1:47.70,17.0,2022/10/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""C+3"" Course",13.84,36.00,1:00.06,1:23.56,1:47.61,,13.84,22.16,24.06,23.50,24.05,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,AMAZING NEWS (E123),C Y Ho,C Fownes,131.0,1073,2,3,7 7 7 8 4,1:48.10,6.7,2022/10/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""C+3"" Course",13.84,36.00,1:00.06,1:23.56,1:47.61,,13.84,22.16,24.06,23.50,24.05,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.0,TURF BRILLIANT (C456),M Chadwick,W Y So,130.0,1143,4,5,5 6 6 5 5,1:48.42,4.4,2022/10/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""C+3"" Course",13.84,36.00,1:00.06,1:23.56,1:47.61,,13.84,22.16,24.06,23.50,24.05,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
